英単語,訳,発音記号（IPA）,解説
thumb,親指,θʌm,『親指』;(手袋などの)親指の部分 / 〈本のページ〉‘を'親指でめくる / 《話》〈ヒッチハイカーが〉〈便乗〉‘を'親指を立てて頼む / ヒッチハイクする
tick,ダニ,tɪk,"(時計まどの)カチカチ[という音] / 《英語》瞬間 / 照合(点検)済みの印,チェック / <時計などが>カチカチ音がする《+away》 / <時が>過ぎる,経過する∥+by(away)》 / 《話》<人が>行動する,<機械などが>動く"
tide,潮,taɪd,"〈U〉〈C〉『潮[の干満]』,(潮の干満によって起こる)潮流 / 〈C〉(世論などの)『風潮』,全体的傾向,形勢 / 〈C〉潮(のように押し寄せてくる…)《+of+名》 / 〈U〉《古》時,季節 / 《『tide over』+『名』》(困難・障害を)乗り切る / (難しい時期を)〈人〉を助けて乗り切らせる,‘に'なんとかやっていかせる《+名+over+名》"
tier,座席；段；階層,ˈtaɪər,"(ひな段式になった段々の)一段,一列 / …‘を'段段に積む,重ねる"
tighten,しっかりと締める；厳しくする；ピンと張る,ˈtaɪtən,"…‘を'きつく締める《+名+up,+up+名》 / 締まる,きつくなる"
timber,木材,ˈtɪmbər,"(また《米》lumber)〈U〉(建築・木工用の)『材木』 / 〈U〉(特に材木用の)森林[地];《集合的に》立ち木 / 〈C〉梁;(船の)助材 / 〈U〉素質,性格 / …を木材で建てる(支える)"
timely,タイミングの良い；おりよく,ˈtaɪmli,時宜を得た
timetable,時刻表,ˈtaɪmˌteɪbəl,"時間表,時間割り;(鉄道の)時刻表 / (…のために)…‘の'計画表(時間割り)を作る《+名+for+名》;(…するように)…‘の'計画表を作る《+名+to do》"
tobacco,タバコ,təˈbæˌkoʊ,"〈C〉『タバコの木』 / 〈U〉〈C〉『タバコの葉』 / 〈C〉(2を加工して製品にした)『たばこ』(紙巻きたばこ(cigarettes),葉巻(cigars),かきたばこ(snuff)など) / 〈U〉喫煙"
tolerance,寛容,ˈtɑlərəns,"(自分と異なる他人の意見・行動などを許す)寛大,寛容・我慢（がまん）,忍耐力 / (薬品・毒物などに対する)耐性,抗毒性 / 公差,許容誤差"
tolerate,容認,ˈtɑləˌreɪt,"…‘に'『寛大な態度をとる』,‘を'黙認する / …‘を'『がまんする』,耐える / 〈薬品・毒物など〉‘に'耐性がある"
toll,通行料金,toʊl,〈鐘が〉(にっくり規則的に繰り返して)鳴る / (ゆっくり規則的に繰り返して)〈鐘〉‘を'鳴らす / 〈鐘が〉…‘を'知らせる / 鐘を鳴らすこと / 鐘の音
ton,トン；馬鹿げた重さ；多量,tʌn,"(重量単位の)『トン』 / (容積単位の)トン(物によって異なり,木材では40立方フィート,小麦では20立方フィート) / 《話》大量(の…),多数(の…)《+of+名》"
tonne,メートルトン,tʌn,=metric ton　メートルトン
tort,不法行為,tɔrt,(契約不履行を除く)不法行為(民事裁判にかけ補償請求ができる)
torture,拷問,ˈtɔrʧər,"…‘を'『拷問にかける』 / (…で)…‘を'『ひどく苦しめる(悩ませる)』《+名+with+名(doing)》 / 〈U〉『拷問』,ひどく苦しめること / 〈U〉〈C〉(心身の)苦痛"
trademark,商標,ˈtreɪdˌmɑrk,"商標
(ある人に特有の)行動様式
…‘に'商標を付ける
…‘を'商標として登録する"
trader,商売をする人；貿易業者；商船；,ˈtreɪdər,"商人,貿易業者"
traditionally,伝統的に,trəˈdɪʃənəli,"伝説的に;伝統的に,しきたり通りに"
trainee,研修生,ˈtreɪˈni,"訓練(特に職業訓練)を受けている人,徒弟,見習い / 《米》(軍事教練を受ける)新兵"
trait,特徴；特性；性質,treɪt,"特性,特質,特色"
tranche,分割払い込み金,trænʧ,
transaction,取引；業務の処理；議事録,trænˈzækʃən,"〈U〉《the ~》(業務などの)『処理』,処置《+of+名》 / 〈C〉業務,商取り引き / 〈C〉《複数形で》(学術協会などの)報告書"
transformation,変換,ˌtrænsfərˈmeɪʃən,"変形,変質;変身 / (物理学で)変換;(電流の)変圧 / (言語学で)変形"
transit,運送；運送機関；通過；横切る,ˈtrænzɪt,"通過,通行 / (…の)輸送,運搬《+of+名》 / 天体が子午線を横切ること,(小天体が)他の天体を横切ること / 〈天体が〉〈太陽面〉‘を'通過する"
translation,翻訳,trænˈzleɪʃən,"〈U〉『訳すこと,翻訳』 / 〈C〉翻訳されたもの"
transmission,送信；伝達；放送；変速機；伝導,trænˈsmɪʃən,"(また transmittal)〈U〉(…を)伝える(送る)こと,(…が)伝えられる(送られる)こし,(…の)伝達,伝送《+of+名》 / 〈C〉(ラジオ・テレビなどで)送られたもの(画面・番組など) / 〈C〉伝動装置,(車の)変速装置,ギヤ"
transmit,送信,trænzˈmɪt,"〈手紙・品物など〉‘を'送る,(ある人・場所・物から他へ)…‘を'伝える,移す / (相続・遺伝などによって子孫に)〈財産・性質など〉‘を'伝える《+名+to+名》 / (媒介によって)〈光・熱・音・力など〉‘を'伝える,伝導する;〈ラジオ・テレビなどの内容〉‘を'放送する,〈信号など〉‘を'送信する"
transparency,透明度,trænˈspɛrənsi,"〈U〉透明 / 透明なもの,(特に)スライド[写真]"
transparent,透明な；見えすいた；わかりやすい；公正明大な,trænˈspɛrənt,"『透明な』,透き通った,光を通す / 透けるほど薄い / (言い訳などが)見え透いた / 率直な,正直な,あけひろげの"
traveler,旅行者,ˈtrævələr,"『旅行者』,旅人 / (また traveling salesman,《英》travelling salesman)巡回販売員,外交員,注文取り"
treasury,"財務省,大蔵省；宝庫,宝物殿,貴重品室；国庫,歳入;公庫,基金,資金",ˈtrɛʒəri,"(特に昔,政府の金を備蓄・運用した)『国庫』,(政府・公共団体・会社などの)基金,資金 / (…の)貴重な収集,宝庫,宝典,名作集《+of+名》 / 《the Treasury》《米》財務省"
treaty,条約,ˈtriti,"〈C〉(国家間の)『条約』,協定 / 〈C〉条約(協定)文書 / 〈U〉《文》(個人間の)約定"
tremendous,ものすごい；すばらしい；恐ろしい,trəˈmɛndəs,"(大きさ・量・強度などで)『ものすごい』,途方もない / 『恐ろしい』,ぞっとさせる / 非常にすばらしい(wonderful)"
tribal,部族,ˈtraɪbəl,部族の;部族的な
tribe,部族,traɪb,"《集合的に》《単数・複数扱い》『部族』 / 《しばしば軽べつして》(…の)仲間,集団,連中《+of+名》 / (動植物の)族(family(科)と genus(属)の間の分類単位)"
tribunal,審判,trəˈbjunəl,"裁判所,法廷,裁決機関 / (一般に)裁き"
tricky,巧妙な；手の込んだ；扱いにくい；狡猾な,ˈtrɪki,"(人が)こうかつな,ずるい
(物事・仕事などが)手の込んだ;慎重を要する,扱いにくい"
trim,刈り込む；摘み取る,trɪm,"(切ったり刈ったりして)…‘の'『形を整える』,‘を'こぎれいにする,手入れする / 〈余分なものなど〉‘を'切り取る,摘み取る《+名+off,+off+名》 / (…で)…‘を'飾る,‘に'飾りを付ける《+名+with+名》 / (航行するために)〈帆〉‘を'調節する,適帆する / (積み荷などを整理して)〈船・飛行機など〉‘の'つり合いを取る / 《話》(スポーツなどで)…‘を'完全に負かす,徹底的にやっつける / 〈意見・方針など〉‘を'都合のよいように変える / …‘を'削除する,削減する / 〈U〉《しばしば》刈り(切り)整えること / 〈U〉『整頓』,整備;(心身の)良好な調子 / 〈U〉装飾;(衣服・ドア・窓などの)縁取り装飾,木造部;(自動車などの)内装,外装 / 『きちんとした』,整った,こぎれいな,均整のとれた"
triple,3部からなる,ˈtrɪpəl,"3倍の / 3重の,3部から成る / 3倍の数(量) / (野球で)三塁打 / …‘を'3倍(3重)にする / 3倍(3重)になる / (野球で)三塁打を打つ"
triumph,"【名】 (苦労･努力などの末の)勝利,成功,偉業【U】勝ち誇ること【動/自】勝利[成功]を収める；勝ち誇る",ˈtraɪəmf,"(…に)『勝利を収める』,勝つ《+over+名》 / 勝利を喜ぶ,勝ち誇る / 〈C〉(…に対する)『勝利』,成功,功績《+over+名》 / 〈U〉勝利(成功)の喜び,勝ち誇り,得意の色"
trustee,"(他人の財産管理などの)受託者, 被信託人,管財人；評議員,理事；委託する.",ˌtrʌˈsti,"(他人の財産の)受託者,保管人 / (学校などの)評議員,理事"
tumble,転ぶ；倒れる,ˈtʌmbəl,"《状態・方向を表す副詞[句]を伴って》『ころがる』,倒れる / ころげ回る,のたうち回る《+about》 / 《状態・方向を表す副詞[句]を伴って》ころがるようにして行く(来る) / くずれ落ちる,崩壊する《+down》 / (体操)とんぼ返りを打つ,くるくる回転する / 〈価格が〉急落する / 《状態・方向を表す副詞[句]を伴って》…‘を'ほうり投げる / …‘を'めちゃくちゃにする / 〈C〉転倒,転落 / 〈U〉《しばしば A ~》混乱,乱雑ごちゃごちゃ / 〈C〉とんぼ返り"
tunnel,トンネル,ˈtʌnəl,"『トンネル』,地下道,坑道 / 〈山など〉‘に'トンネルを掘る / 〈トンネルなど〉‘を'掘る / トンネルを掘る"
tuple,組；タプル,tuple,
turmoil,騒ぎ,ˈtɜrˌmɔɪl,"騒ぎ,混乱,動揺"
turnover,売上高,ˈtɜrˌnoʊvər,"〈C〉(車などの)転覆,転倒 / 〈U〉《しばしば a…》(一定期間内の)総取り引き高,売り上げ高 / 〈U〉《しばしば s…》(一定期間内の)補充労働者の総数(割合) / 〈U〉《しばしば a…》(一定期間内の)商品の回転率 / 〈C〉〈U〉(半円形形または三角形の)折り重ねパイ"
ultimate,究極,ˈʌltəmət,"『最後の』,最後の,究極の / 『最大限の』,極限の / 根本的な / 最も遠い / 最終(究極,最高)のもの"
unauthorized,不正,əˈnɔθəˌraɪzd,
uncertain,不確実,ənˈsɜrtən,"《補語にのみ用いて》(人が)『確信が持てない』,はっきり分からない / (結果などが)『確かでない』,はっきりしない,疑わしい / 『変わりやすい』,不安定な / 明確でない,ぼんやりした"
unchanged,変更なし,ənˈʧeɪnʤd,"変化のない,もとのままの"
uncover,ふたをとる；身につけたものを脱ぐ；暴露する,ənˈkʌvər,"…‘の'『おおい』(ふた)『を取る』 / 〈秘密など〉‘を'『明らかにする』,暴露する / 《古》(敬意を表して)〈頭〉‘から'帽子を取る / (敬意を表して)脱帽する"
underestimate,過小評価,ˈʌndəˈrɛstəmət,〈価値・質・量・能力など〉‘を'実際より低く評価する(見積もる) / 過小評価
underground,地下,ˈʌndərˌgraʊnd,"『地下の』 / 《比喩的に》『地下の』,秘密の,隠れた / (運動・映画・出版物などについて)前衛的(実験的)な,アングラの / 『地下に(で)』 / 秘密のうちに,隠れて / 〈C〉(政府や占領軍に反抗する)『地下秘密組織』 / 《英》《the ~》『地下鉄』"
undermine,ひそかに傷つける；阻む,ˈʌndərˌmaɪn,"…‘の'下を掘る,下に穴(トンネル)を掘る / (浸食作用で)…‘の'土台を壊す(削る) / 〈健康・名声など〉‘を'知らないうちに(徐々に)害する,弱める"
underpin,支える,ˈʌndərˌpɪn,"(支柱・けたなどで)…‘を'下から支える,‘に'基礎(根拠)を与える《+名+with(by)+名》"
undervalue,過小評価,ˈʌndərˌvælju,"…‘を'実際の価値よりも低く評価する / …‘を'軽視する,見くびる"
underwrite,引き受ける,ˈʌndərˌraɪt,;‘の'費用負担を承諾する / 〈保険証書〉‘に'署名する / …‘に'保険をつける / 《おもに過去分詞形で》…‘の'下に書く;〈文書など〉‘に'署名する / 〈株式・債券など〉‘を'引き受ける / 保険業を営む
underwriter,引受,ˈʌndərˌraɪtər,"保険業者
証巻引受業者"
undoubtedly,きっと,ənˈdaʊtɪdli,"疑いなく,確かに"
unemployed,失業者,ˌʌnɛmˈplɔɪd,"仕事のない,失業した / 利用してない,遊ばせてある / 失業者"
unexpected,予想外,ˌʌnɪkˈspɛktɪd,"『予期しない』,思いがけない"
unexpectedly,意外と,ˌʌnɪkˈspɛktɪdli,『思いがけなく』
unfair,不公平な；不正な,ənˈfɛr,"不公平な,不当な,かたよった / (商取引などが)公正でない,不正の"
unfavorable,【形】好ましくない；不利な；好意的でない,ˌʌnˈfeɪvərəbəl,"不利な,都合の悪い,逆の / (批評などが)好意的でない,批判的な / (要求などに)否定的な"
unhappy,不幸,ənˈhæpi,"『悲しい』,気の滅入る / (物事が)不幸な,不運な,みじめな / (物事が)適切でない,適当でない,まずい"
unify,統一,ˈjunəˌfaɪ,"…‘を'一つにする,統一する,結束させる(unite) / …‘を'同一(一様)にする"
unity,"単一(性),統一,統合；団結；一貫性；一致；調和",ˈjunəti,"{U}『単一性,統一性』;{C}単一体,統一体 / {C}{U}(古典劇構成での)一致 / {U}(…との)『協調』,調和《+with+名》"
unlimited,無制限,ənˈlɪmətəd,"(空間的に)限りない,果てしない(boundless) / 無制限の,無条件の / 過度の,非常な(excessive)"
